Dataset,Train_Split,Alpha,Accuracy,TPR,TNR,FPR,FNR,Error 

GroupA,0.75,0.01,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.02,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.03,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.04,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.05,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.060000000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.07,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.08,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.09,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.09999999999999999,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.10999999999999999,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.11999999999999998,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.12999999999999998,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.13999999999999999,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.15,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.16,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.17,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.18000000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.19000000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.20000000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.21000000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.22000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.23000000000000007,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.24000000000000007,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.25000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.26000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.2700000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.2800000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.2900000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.3000000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.3100000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.3200000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.3300000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.34000000000000014,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.35000000000000014,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.36000000000000015,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.37000000000000016,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.38000000000000017,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.3900000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.4000000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.4100000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.4200000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.4300000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.4400000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.45000000000000023,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.46000000000000024,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.47000000000000025,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.48000000000000026,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.49000000000000027,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5000000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5100000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5200000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5300000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5400000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5500000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.5600000000000003,100.0,100.0,100.0,0.0,0.0,0.0

