Price,Weight,Type
22502.90814,57499.69812000001,1
23606.38185,59892.59674,0
23588.91301,61164.72816,0
23050.77331,55427.8206,1
22686.33599,56781.5947,1
23945.44148,60551.29607999999,0
22713.949259999998,55561.08727999999,1
23015.35891,57944.009060000004,1
23927.0462,57905.52272000001,0
22666.34637,56506.67714,1
22169.34318,55705.64412999999,1
23272.16444,58750.0286,0
23587.03205,57116.885570000006,1
22912.85786,56337.4898,1
23626.04382,62256.32532,0
22549.722530000003,55079.6653,1
22847.60076,56214.974729999994,1
22371.49482,55926.2318,1
24011.25485,60580.72949,0
22257.820669999997,57265.06366,1
23619.183230000002,60603.01395,0
23404.92696,58845.43946,0
24260.90357,61073.03337999999,0
22516.018630000002,55825.64392,1
23578.37555,61789.92133,0
24160.72229,60553.24118,0
23666.46429,62114.245429999995,0
24082.16808,59530.252960000005,0
24331.27906,61324.40923,0
23627.56006,55808.85921,1
23879.28803,60293.90542,0
23012.20868,57510.45712000001,1
24488.89055,61045.64999,0
24255.54065,60986.25467,0
23097.02887,56907.506760000004,1
23040.0935,53528.03465,1
23633.12211,57488.22185,0
22691.69759,55738.45367,1
24062.19183,61353.258689999995,0
23478.74475,60746.94022999999,0
23076.89747,55963.772379999995,1
22975.60075,57712.464810000005,1
24279.24382,61933.94786,0
22862.08667,57927.72185,1
24754.00976,59173.41614,0
23282.72764,57138.6562,1
24218.65465,59141.87469,0
23363.79896,60692.67099,0
23281.98056,60717.308829999994,0
23900.89276,59600.31303,0
23973.42681,59029.655889999995,0
24020.250369999998,58904.1789,0
22598.4292,55444.254689999994,1
22608.6783,56231.92825,1
23881.00514,60541.141579999996,0
24046.848319999997,60791.80052999999,0
23182.1011,55944.34691,1
22788.85395,56535.65895,1
23988.357340000002,58176.298189999994,0
24402.82544,60089.42245,0
22568.954980000002,57302.14084,1
22198.62056,55316.5208,1
23308.17709,55317.43882,1
23895.15149,60464.5563,0
23302.89284,54203.515060000005,1
22343.643969999997,56275.08633,1
24009.464069999998,60418.303270000004,0
23842.70971,58700.979029999995,0
22355.42943,54600.90689,1
23374.22061,58469.76752,0
23274.88672,60593.598139999995,0
23991.510130000002,60432.70204,0
23125.74109,57308.955420000006,1
24327.04676,60488.64762999999,0
22375.07799,57270.83882999999,1
22097.36963,56298.282629999994,1
