Price,Weight,Type
22000,40000,0
30000,70000,1
36000,58000,1
37000,72000,1
24000,50000,1
16000,72000,1
22000,54000,0
23000,56000,0
32000,50000,1
26000,46000,0
36000,48000,1
29000,46000,0
28000,40000,0
19000,52000,0
28000,42000,0
38000,56000,1
22000,44000,1
16000,68000,1
32000,72000,1
21000,56000,0
27000,44000,0
28000,70000,1
35000,70000,1
28000,42000,0
36000,42000,0
37000,76000,1
22000,76000,0
21000,42000,0
42000,38000,0
20000,52000,1
35000,80000,1
35000,52000,1
38000,70000,1
33000,44000,0
20000,62000,0
32000,68000,1
23000,56000,0
21000,52000,0
41000,56000,0
36000,48000,1
42000,70000,1
22000,76000,1
23000,32000,1
28000,54000,1
16000,86000,0
43000,34000,0
30000,72000,1
36000,42000,1
35000,36000,0
31000,82000,1
26000,66000,0
19000,76000,1
31000,72000,1
45000,56000,1
19000,42000,0
37000,70000,1
31000,46000,1
23000,48000,0
25000,50000,0
45000,68000,1
29000,40000,0
15000,54000,1
22000,44000,0
28000,78000,1
24000,44000,0
42000,56000,1
30000,32000,1
21000,50000,0
33000,46000,1
34000,68000,1
28000,44000,0
36000,34000,0
35000,40000,0
21000,44000,0
20000,44000,0
19000,40000,0
25000,64000,1
21000,48000,0
31000,84000,0
20000,74000,1
25000,62000,0
33000,86000,1
21000,46000,0
40000,54000,0
29000,76000,1
37000,50000,1
34000,56000,1
29000,68000,1
38000,76000,1
21000,74000,0
24000,62000,1
31000,78000,1
22000,52000,0
38000,72000,1
19000,38000,0
35000,72000,1
17000,66000,1
37000,72000,1
22000,44000,0
22000,74000,0
23000,82000,0
35000,74000,1
28000,40000,0
19000,52000,0
35000,58000,1
45000,76000,1
25000,42000,0
18000,46000,0
22000,46000,0
18000,90000,1
35000,74000,1
35000,72000,1
21000,86000,0
28000,72000,1
28000,80000,0
40000,90000,1
39000,56000,1
19000,46000,0
30000,62000,1
43000,70000,1
31000,70000,1
38000,36000,0
18000,58000,0
32000,70000,1
17000,78000,1
29000,76000,1
20000,76000,0
31000,44000,0
36000,62000,1
29000,88000,0
30000,38000,1
36000,62000,1
35000,74000,1
24000,46000,0
38000,72000,1
22000,66000,0
36000,58000,1
25000,36000,0
20000,42000,0
30000,72000,1
21000,38000,0
29000,68000,1
27000,90000,1
32000,56000,0
28000,66000,1
29000,70000,1
15000,38000,0
28000,58000,1
31000,48000,0
24000,56000,0
37000,66000,0
28000,72000,1
45000,70000,1
21000,32000,1
33000,50000,0
37000,70000,1
37000,68000,1
35000,68000,1
22000,36000,0
36000,82000,1
44000,46000,0
25000,58000,1
38000,42000,1
35000,74000,0
39000,62000,0
36000,58000,1
21000,78000,1
31000,64000,1
26000,58000,1
31000,46000,0
26000,62000,0
35000,54000,1
15000,50000,1
25000,62000,1
39000,46000,0
27000,90000,0
25000,74000,0
40000,58000,0
21000,46000,0
21000,82000,0
35000,62000,1
20000,38000,0
36000,66000,1
36000,42000,0
22000,62000,1
20000,74000,1
26000,44000,1
28000,42000,0
23000,46000,0
21000,60000,0
43000,74000,1
28000,60000,1
27000,46000,0
30000,64000,1
20000,44000,0
22000,40000,0
39000,46000,1
23000,54000,0
26000,90000,0
23000,56000,0
27000,68000,0
43000,72000,1
24000,48000,0
36000,90000,0
36000,64000,1
30000,62000,1
37000,88000,1
22000,42000,0
33000,78000,0
32000,84000,0
21000,74000,1
36000,66000,1
17000,46000,0
39000,58000,1
21000,48000,0
19000,50000,0
20000,72000,1
23000,86000,1
40000,58000,1
22000,48000,0
31000,62000,1
34000,38000,1
30000,70000,1
35000,44000,1
31000,44000,0
22000,66000,1
30000,44000,1
22000,52000,0
30000,74000,1
25000,30000,0
36000,64000,1
32000,64000,1
32000,74000,1
45000,48000,1
24000,70000,1
30000,56000,0
15000,68000,1
35000,86000,1
26000,34000,0
20000,46000,0
32000,50000,0
34000,74000,1
45000,70000,1
22000,80000,0
37000,74000,0
27000,72000,1
16000,64000,1
25000,42000,0
20000,78000,0
38000,38000,1
30000,48000,0
22000,34000,1
28000,46000,0
18000,38000,0
33000,48000,0
28000,48000,0
24000,64000,0
33000,46000,0
32000,62000,1
45000,72000,1
25000,42000,1
33000,48000,0
30000,70000,1
20000,44000,0
23000,46000,0
28000,54000,0
34000,70000,1
22000,64000,0
38000,72000,1
20000,50000,0
31000,54000,1
34000,60000,1
26000,68000,0
38000,60000,1
42000,90000,1
39000,54000,0
25000,42000,0
26000,46000,0
31000,90000,0
34000,72000,1
35000,56000,1
37000,72000,1
22000,84000,0
45000,60000,1
16000,58000,0
22000,46000,0
31000,58000,1
35000,60000,1
31000,60000,1
21000,78000,0
36000,46000,1
35000,68000,1
38000,34000,1
37000,66000,1
25000,46000,0
29000,74000,1
15000,46000,0
35000,68000,1
23000,42000,0
25000,82000,0
22000,46000,0
19000,66000,1
37000,76000,1
21000,78000,0
36000,68000,1
26000,56000,0
28000,74000,1
32000,74000,1
24000,68000,0
36000,42000,0
37000,74000,1
20000,44000,0
27000,30000,0
38000,70000,1
37000,60000,1
36000,72000,1
33000,76000,0
37000,66000,1
22000,40000,0
21000,60000,0
27000,52000,1
21000,68000,1
27000,56000,0
36000,70000,1
36000,90000,1
31000,44000,1
31000,76000,0
41000,56000,0
38000,48000,1
31000,60000,1
37000,58000,1
23000,56000,0
29000,66000,1
18000,38000,0
28000,76000,0
37000,68000,1
38000,72000,1
22000,60000,0
27000,76000,0
44000,68000,1
36000,70000,1
36000,60000,1
22000,44000,0
22000,68000,0
35000,54000,0
38000,62000,1
20000,90000,1
38000,68000,1
39000,68000,0
37000,44000,1
23000,54000,0
27000,42000,0
33000,48000,0
34000,70000,1
32000,70000,1
24000,46000,1
20000,56000,0
37000,74000,1
36000,54000,1
21000,88000,0
20000,54000,0
22000,34000,0
26000,42000,0
32000,66000,1
32000,66000,1
34000,56000,1
23000,38000,0
43000,44000,0
32000,48000,0
35000,74000,1
30000,50000,1
30000,84000,1
26000,82000,0
23000,44000,0
23000,38000,0
28000,58000,1
33000,40000,1
28000,56000,1
26000,36000,0
25000,32000,0
22000,36000,0
28000,72000,0
28000,70000,1
26000,48000,0
25000,70000,1
29000,68000,0
35000,64000,1
30000,36000,0
34000,46000,1
19000,44000,0
35000,60000,1
21000,60000,1
38000,64000,1
23000,44000,0
40000,38000,0
22000,78000,0
35000,42000,1
22000,56000,0
35000,64000,1
29000,58000,0
23000,56000,0
36000,56000,1
34000,44000,1
23000,36000,0
23000,90000,1
33000,46000,1
36000,42000,0
26000,60000,1
22000,48000,0
23000,86000,0
31000,70000,1
36000,56000,0
38000,70000,1
22000,48000,0
26000,36000,0
29000,74000,1
28000,68000,1
20000,50000,0
26000,68000,0
37000,54000,1
29000,72000,1
26000,84000,1
22000,86000,1
38000,74000,1
35000,66000,1
36000,52000,1
23000,42000,0
25000,48000,0
34000,50000,1
20000,38000,0
30000,66000,1
16000,34000,0
28000,36000,0
16000,76000,1
23000,56000,0
35000,80000,0
21000,68000,0
39000,48000,0
28000,56000,0
33000,68000,1
22000,44000,0
25000,84000,0
30000,60000,1
28000,74000,1
23000,42000,0
22000,42000,0
22000,68000,1
26000,84000,1
21000,74000,1
16000,72000,0
28000,42000,0
43000,50000,1
35000,70000,1
24000,72000,0
21000,44000,0
21000,48000,1
36000,58000,1
19000,54000,0
45000,40000,0
23000,36000,0
36000,74000,1
22000,50000,0
34000,70000,1
36000,72000,1
36000,74000,1
37000,56000,1
24000,64000,0
26000,56000,0
35000,74000,1
40000,70000,1
33000,64000,1
34000,64000,1
19000,72000,1
28000,76000,1
22000,30000,0
29000,78000,1
23000,42000,0
21000,42000,0
36000,74000,1
40000,68000,1
37000,58000,1
23000,48000,0
37000,60000,1
45000,70000,1
20000,60000,1
35000,70000,1
31000,74000,1
22000,56000,0
28000,60000,0
21000,42000,0
38000,72000,1
24000,48000,0
28000,46000,0
23000,44000,0
24000,54000,0
20000,48000,0
35000,56000,1
36000,76000,1
29000,44000,0
23000,40000,0
22000,38000,0
28000,62000,0
28000,50000,0
36000,68000,1
19000,44000,0
22000,82000,0
23000,44000,0
39000,80000,0
16000,40000,0
31000,66000,1
39000,72000,1
36000,72000,1
28000,62000,1
35000,66000,1
23000,48000,0
29000,42000,0
40000,68000,1
42000,62000,1
24000,84000,0
20000,62000,0
38000,74000,1
15000,42000,0
29000,74000,1
23000,36000,0
44000,78000,1
21000,52000,0
27000,40000,1
30000,36000,1
15000,78000,0
20000,38000,0
30000,68000,0
22000,50000,0
32000,68000,1
26000,80000,0
34000,76000,0
32000,50000,1
45000,52000,1
38000,76000,1
38000,90000,1
27000,66000,0
32000,70000,1
45000,72000,1
29000,42000,0
18000,76000,1
38000,80000,1
22000,52000,0
34000,50000,1
40000,42000,0
25000,42000,0
44000,70000,1
23000,52000,0
22000,36000,0
26000,50000,0
27000,78000,0
19000,34000,0
22000,54000,0
41000,48000,1
25000,58000,1
37000,70000,1
24000,46000,0
21000,56000,0
38000,58000,1
33000,56000,1
23000,38000,0
41000,76000,0
28000,50000,1
25000,50000,0
32000,90000,1
31000,42000,0
35000,50000,1
22000,48000,0
37000,64000,1
33000,78000,1
36000,68000,1
21000,70000,1
36000,60000,1
30000,44000,1
31000,70000,1
23000,44000,0
45000,56000,1
22000,38000,0
28000,76000,1
21000,52000,1
27000,48000,0
23000,44000,0
21000,42000,0
31000,76000,1
21000,68000,0
37000,70000,1
21000,52000,0
35000,72000,1
19000,54000,0
23000,90000,0
19000,86000,0
25000,74000,0
37000,90000,1
32000,72000,1
35000,60000,1
23000,50000,0
23000,74000,1
22000,44000,0
45000,76000,1
27000,62000,0
40000,80000,0
32000,42000,0
29000,54000,1
22000,42000,0
28000,56000,1
45000,68000,0
29000,64000,0
19000,60000,0
21000,44000,0
26000,90000,1
23000,44000,0
40000,30000,1
19000,46000,0
31000,70000,0
24000,72000,0
15000,56000,1
37000,68000,1
20000,60000,0
32000,90000,1
32000,62000,0
27000,58000,0
20000,44000,0
20000,44000,0
22000,50000,0
35000,70000,1
26000,56000,0
35000,56000,1
20000,46000,0
22000,68000,1
28000,44000,1
38000,70000,1
25000,80000,0
39000,78000,1
32000,84000,1
23000,64000,1
25000,50000,0
31000,54000,1
34000,38000,0
21000,66000,0
30000,48000,0
17000,46000,0
38000,70000,1
22000,76000,1
33000,44000,0
34000,76000,1
21000,78000,0
24000,72000,1
37000,54000,0
36000,44000,1
37000,34000,0
35000,44000,1
21000,66000,0
40000,74000,1
36000,86000,1
45000,84000,1
22000,50000,0
19000,72000,0
37000,50000,1
39000,76000,0
29000,54000,0
35000,60000,1
21000,88000,0
21000,42000,0
22000,44000,0
44000,62000,1
27000,46000,0
26000,40000,0
24000,46000,0
35000,72000,1
33000,70000,1
39000,46000,0
44000,40000,1
38000,72000,1
25000,42000,0
40000,52000,0
24000,72000,1
25000,42000,0
33000,54000,0
36000,72000,0
30000,70000,1
30000,42000,0
17000,70000,0
36000,46000,0
40000,56000,1
38000,38000,0
26000,60000,1
28000,74000,0
20000,56000,0
32000,76000,1
20000,42000,0
21000,36000,0
31000,68000,1
40000,72000,1
31000,64000,1
23000,46000,0
20000,64000,0
28000,48000,0
26000,76000,0
36000,64000,1
21000,44000,0
34000,60000,1
37000,70000,1
31000,60000,1
24000,42000,0
35000,64000,1
23000,56000,0
39000,60000,1
45000,56000,1
29000,52000,0
19000,44000,0
21000,70000,1
27000,66000,1
27000,52000,0
27000,46000,0
23000,66000,1
24000,54000,0
22000,42000,0
31000,90000,1
33000,68000,1
42000,72000,1
35000,82000,1
21000,80000,0
31000,52000,0
43000,54000,1
34000,78000,1
21000,44000,0
30000,88000,1
33000,46000,1
20000,46000,0
29000,60000,1
42000,54000,1
37000,40000,1
19000,40000,0
25000,40000,0
23000,88000,1
29000,66000,1
22000,34000,0
22000,38000,0
40000,68000,1
21000,30000,0
35000,76000,0
21000,90000,1
22000,40000,0
20000,42000,0
28000,36000,1
24000,44000,0
21000,46000,0
30000,68000,1
35000,70000,1
22000,76000,1
45000,72000,1
27000,52000,0
41000,54000,0
23000,78000,0
19000,48000,0
21000,44000,0
44000,66000,1
35000,74000,1
26000,60000,1
24000,38000,0
28000,64000,1
30000,30000,1
29000,52000,0
38000,72000,1
35000,58000,1
36000,74000,1
20000,46000,0
29000,70000,1
19000,84000,0
23000,82000,0
26000,38000,0
22000,72000,0
36000,64000,1
24000,78000,0
35000,60000,1
23000,38000,0
36000,74000,1
36000,64000,1
22000,56000,0
22000,54000,0
23000,42000,0
19000,50000,0
22000,46000,0
22000,46000,0
21000,40000,0
37000,58000,0
45000,74000,1
38000,70000,1
18000,54000,0
32000,78000,1
24000,78000,0
23000,70000,0
30000,54000,1
35000,76000,1
29000,78000,1
34000,50000,0
37000,68000,1
33000,38000,1
26000,42000,0
29000,70000,1
20000,42000,0
45000,64000,0
23000,50000,0
36000,60000,1
33000,70000,1
21000,48000,0
25000,38000,0
19000,48000,0
27000,72000,0
28000,68000,0
39000,74000,1
27000,56000,0
28000,40000,1
40000,60000,0
23000,42000,0
33000,56000,1
15000,52000,1
24000,54000,0
25000,38000,0
36000,74000,1
17000,90000,1
23000,40000,0
19000,46000,1
22000,54000,0
38000,80000,1
27000,50000,0
20000,80000,0
36000,70000,1
31000,74000,1
39000,50000,0
26000,52000,0
30000,44000,0
21000,46000,0
38000,68000,1
37000,52000,0
26000,86000,1
21000,64000,0
20000,50000,0
23000,48000,0
37000,70000,1
37000,64000,1
18000,44000,0
43000,72000,1
43000,80000,0
32000,70000,1
35000,74000,1
32000,30000,1
35000,58000,1
27000,64000,1
21000,36000,0
27000,44000,0
20000,48000,1
37000,34000,1
35000,34000,1
